alias,categary_alias,categary_title,latitude,longitude,display_phone,,image_url,,location.address1,location.city,name,phone,price,rating,url
zazie-san-francisco,breakfast_brunch,Breakfast & Brunch,37.765244,-122.4501138,(415) 564-5332,,https://s3-media4.fl.yelpcdn.com/bphoto/_JBubnL5rMAiU5D0Uos9zQ/o.jpg,,941 Cole St,San Francisco,Zazie,14155645332,$$,4,https://www.yelp.com/biz/zazie-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
saigon-sandwich-san-francisco,vietnamese,Vietnamese,37.78315196,-122.417318,(415) 474-5698,,https://s3-media3.fl.yelpcdn.com/bphoto/lVyf1pn7ft4YzO2n4z7Exg/o.jpg,,560 Larkin St,San Francisco,Saigon Sandwich,14154745698,$,4.5,https://www.yelp.com/biz/saigon-sandwich-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
golden-boy-pizza-san-francisco,pizza,Pizza,37.7997956,-122.4080729,(415) 982-9738,,https://s3-media1.fl.yelpcdn.com/bphoto/F8OxoXdS51h2VfU9Je2cNQ/o.jpg,,542 Green St,San Francisco,Golden Boy Pizza,14159829738,$,4.5,https://www.yelp.com/biz/golden-boy-pizza-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
liholiho-yacht-club-san-francisco-2,bars,Bars,37.78818,-122.41458,(415) 440-5446,,https://s3-media3.fl.yelpcdn.com/bphoto/FK2X98w6z5naJyiQjsGTNA/o.jpg,,871 Sutter St,San Francisco,Liholiho Yacht Club,14154405446,$$$,4.5,https://www.yelp.com/biz/liholiho-yacht-club-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
sweet-maple-san-francisco,tradamerican,American,37.78573568,-122.4350777,(415) 655-9169,,https://s3-media1.fl.yelpcdn.com/bphoto/LElE7KG2v6y_OR1W05o-1Q/o.jpg,,2101 Sutter St,San Francisco,Sweet Maple,14156559169,$$,4,https://www.yelp.com/biz/sweet-maple-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
foreign-cinema-san-francisco,breakfast_brunch,Breakfast & Brunch,37.75637,-122.41925,(415) 648-7600,,https://s3-media3.fl.yelpcdn.com/bphoto/cw5y2LSOIE-EVNjKK_d7SQ/o.jpg,,2534 Mission St,San Francisco,Foreign Cinema,14156487600,$$$,4,https://www.yelp.com/biz/foreign-cinema-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
sotto-mare-oysteria-and-seafood-san-francisco,seafood,Seafood,37.79979,-122.40834,(415) 398-3181,,https://s3-media2.fl.yelpcdn.com/bphoto/Efr_0zx4ID9jla5kxuIMNQ/o.jpg,,552 Green St,San Francisco,Sotto Mare Oysteria & Seafood,14153983181,$$,4.5,https://www.yelp.com/biz/sotto-mare-oysteria-and-seafood-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
tonys-pizza-napoletana-san-francisco,pizza,Pizza,37.80033154,-122.409054,(415) 835-9888,,https://s3-media3.fl.yelpcdn.com/bphoto/rrBlePEDLrbD27VVE0Ze2A/o.jpg,,1570 Stockton St,San Francisco,Tony's Pizza Napoletana,14158359888,$$,4,https://www.yelp.com/biz/tonys-pizza-napoletana-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
golden-gate-bakery-san-francisco,bakeries,Bakeries,37.79633,-122.40703,(415) 781-2627,,https://s3-media2.fl.yelpcdn.com/bphoto/OTPE-_ItRfEA9aG1Yk6Nkg/o.jpg,,1029 Grant Ave,San Francisco,Golden Gate Bakery,14157812627,$,4.5,https://www.yelp.com/biz/golden-gate-bakery-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
little-star-pizza-san-francisco,pizza,Pizza,37.77753,-122.43798,(415) 441-1118,,https://s3-media2.fl.yelpcdn.com/bphoto/C-lgf5TcabWh0YvlTAGGTw/o.jpg,,846 Divisadero St,San Francisco,Little Star Pizza,14154411118,$$,4.5,https://www.yelp.com/biz/little-star-pizza-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
chapeau-san-francisco,french,French,37.78327,-122.46066,(415) 750-9787,,https://s3-media1.fl.yelpcdn.com/bphoto/4C-8MFYXexkcdIWgsfiZXA/o.jpg,,126 Clement St,San Francisco,Chapeau!,14157509787,$$$,4.5,https://www.yelp.com/biz/chapeau-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
mamas-on-washington-square-san-francisco,breakfast_brunch,Breakfast & Brunch,37.801606,-122.409599,(415) 362-6421,,https://s3-media3.fl.yelpcdn.com/bphoto/rG5KRnEQq1yPUmEQ3L8r6Q/o.jpg,,1701 Stockton St,San Francisco,Mama's On Washington Square,14153626421,$$,4,https://www.yelp.com/biz/mamas-on-washington-square-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
humphry-slocombe-ice-cream-san-francisco,icecream,Desserts,37.75279,-122.4122,(415) 550-6971,,https://s3-media1.fl.yelpcdn.com/bphoto/N9XikmqttZy5StpPxkJing/o.jpg,,2790A Harrison St,San Francisco,Humphry Slocombe Ice Cream,14155506971,$,4,https://www.yelp.com/biz/humphry-slocombe-ice-cream-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
the-codmother-fish-and-chips-san-francisco-3,british,British,37.80727026,-122.4170938,(415) 606-9349,,https://s3-media4.fl.yelpcdn.com/bphoto/jIiYLWAA1S-efjnkLJ29FQ/o.jpg,,496 Beach St,San Francisco,The Codmother Fish & Chips,14156069349,$$,4.5,https://www.yelp.com/biz/the-codmother-fish-and-chips-san-francisco-3?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
la-taqueria-san-francisco-2,mexican,Mexican,37.75088,-122.41805,(415) 285-7117,,https://s3-media2.fl.yelpcdn.com/bphoto/quJVkgOw_pf70_enWelldw/o.jpg,,2889 Mission St,San Francisco,La Taqueria,14152857117,$,4,https://www.yelp.com/biz/la-taqueria-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
bobs-donut-and-pastry-shop-san-francisco-2,bakeries,Bakeries,37.79185,-122.42128,(415) 776-3141,,https://s3-media4.fl.yelpcdn.com/bphoto/bCN2o9R-f4ClEuTTpWe7jQ/o.jpg,,1621 Polk St,San Francisco,Bob's Donut & Pastry Shop,14157763141,$,4.5,https://www.yelp.com/biz/bobs-donut-and-pastry-shop-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
marufuku-ramen-sf-san-francisco,ramen,Japanese,37.785155,-122.432075,(415) 872-9786,,https://s3-media2.fl.yelpcdn.com/bphoto/2lUFO5HWD7_RLDWlT5Nvuw/o.jpg,,1581 Webster St,San Francisco,Marufuku Ramen SF,14158729786,$$,4.5,https://www.yelp.com/biz/marufuku-ramen-sf-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
twin-peaks-san-francisco,parks,Parks,37.75215641,-122.4475193,(415) 831-2700,,https://s3-media2.fl.yelpcdn.com/bphoto/C-0duhDSzR7-Z7YGrr_wCQ/o.jpg,,501 Twin Peaks Blvd,San Francisco,Twin Peaks,14158312700,,4.5,https://www.yelp.com/biz/twin-peaks-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
state-bird-provisions-san-francisco,tapasmallplates,Spanish,37.78374,-122.433005,(415) 795-1272,,https://s3-media2.fl.yelpcdn.com/bphoto/ckOXfbcgSrAcHOG86zEKuQ/o.jpg,,1529 Fillmore St,San Francisco,State Bird Provisions,14157951272,$$$,4,https://www.yelp.com/biz/state-bird-provisions-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
espetus-brazilian-steak-house-san-francisco,steak,Steakhouses,37.77333275,-122.4221317,(415) 552-8792,,https://s3-media1.fl.yelpcdn.com/bphoto/OHcsmu2NAFKzuhJHR_xhUg/o.jpg,,1686 Market St,San Francisco,Espetus Brazilian Steak House,14155528792,$$$,4,https://www.yelp.com/biz/espetus-brazilian-steak-house-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
arizmendi-bakery-san-francisco,bakeries,Bakeries,37.7633882,-122.4664991,(415) 566-3117,,https://s3-media4.fl.yelpcdn.com/bphoto/N4MZ8fSgldHKDzmJniR__g/o.jpg,,1331 9th Ave,San Francisco,Arizmendi Bakery,14155663117,$,4.5,https://www.yelp.com/biz/arizmendi-bakery-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
mission-dolores-park-san-francisco,parks,Parks,37.759764,-122.427052,(415) 831-2700,,https://s3-media2.fl.yelpcdn.com/bphoto/9xdDcE9PcXQ1y-Nf28FZ8w/o.jpg,,19th & Dolores St,San Francisco,Mission Dolores Park,14158312700,,4.5,https://www.yelp.com/biz/mission-dolores-park-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
dotties-true-blue-cafe-san-francisco,tradamerican,American,37.78170504,-122.4098396,(415) 885-2767,,https://s3-media1.fl.yelpcdn.com/bphoto/oWjbixXhvUzIdKm3tHQKQQ/o.jpg,,28 6th St,San Francisco,Dottie's True Blue Cafe,14158852767,$$,4,https://www.yelp.com/biz/dotties-true-blue-cafe-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
philz-coffee-san-francisco,coffee,Drinks,37.7523971,-122.4142637,(415) 875-9370,,https://s3-media3.fl.yelpcdn.com/bphoto/8EK6jxJfiE6PgWTZr2orcQ/o.jpg,,3101 24th St,San Francisco,Philz Coffee,14158759370,$,4.5,https://www.yelp.com/biz/philz-coffee-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
suppenküche-san-francisco-2,german,German,37.77626038,-122.4263916,(415) 252-9289,,https://s3-media1.fl.yelpcdn.com/bphoto/5mt7G1S_hFYv3rYIl7v2lQ/o.jpg,,525 Laguna St,San Francisco,Suppenküche,14152529289,$$,4,https://www.yelp.com/biz/suppenk%C3%BCche-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
beretta-san-francisco,italian,Italian,37.75384,-122.42055,(415) 695-1199,,https://s3-media1.fl.yelpcdn.com/bphoto/RsCeyBgtnXpmN9YTKEIvWg/o.jpg,,1199 Valencia St,San Francisco,Beretta,14156951199,$$,4,https://www.yelp.com/biz/beretta-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
kitchen-story-san-francisco,breakfast_brunch,Breakfast & Brunch,37.7642352,-122.4306936,(415) 525-4905,,https://s3-media2.fl.yelpcdn.com/bphoto/s03_G5k_GvH9P-rfIAtqhQ/o.jpg,,3499 16th St,San Francisco,Kitchen Story,14155254905,$$,4,https://www.yelp.com/biz/kitchen-story-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
schuberts-bakery-san-francisco,bakeries,Bakeries,37.78267,-122.46493,(415) 752-1580,,https://s3-media4.fl.yelpcdn.com/bphoto/VpmSb6NkMu96C5z9-7OFGQ/o.jpg,,521 Clement St,San Francisco,Schubert's Bakery,14157521580,$$,4.5,https://www.yelp.com/biz/schuberts-bakery-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
golden-gate-park-san-francisco,parks,Parks,37.770518,-122.479878,(415) 831-2700,,https://s3-media4.fl.yelpcdn.com/bphoto/U-0t-L7kPKeoTLkJcWyfkg/o.jpg,,501 Stanyan St,San Francisco,Golden Gate Park,14158312700,,4.5,https://www.yelp.com/biz/golden-gate-park-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
hrd-san-francisco-4,korean,Korean,37.78110658,-122.3953297,(415) 543-2355,,https://s3-media3.fl.yelpcdn.com/bphoto/PyFG7Chlw7mH5IX7WZDVcA/o.jpg,,521A 3rd St,San Francisco,HRD,14155432355,$$,4,https://www.yelp.com/biz/hrd-san-francisco-4?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
anthonys-cookies-san-francisco-2,bakeries,Bakeries,37.7502,-122.42013,(415) 655-9834,,https://s3-media1.fl.yelpcdn.com/bphoto/6ZXuANt_JBmtSeAHbG5sYQ/o.jpg,,1417 Valencia St,San Francisco,Anthony's Cookies,14156559834,$,4.5,https://www.yelp.com/biz/anthonys-cookies-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
swan-oyster-depot-san-francisco,seafood,Seafood,37.790939,-122.420796,(415) 673-1101,,https://s3-media2.fl.yelpcdn.com/bphoto/9VGbw_Dwciw-jnVLXIScPQ/o.jpg,,1517 Polk St,San Francisco,Swan Oyster Depot,14156731101,$$,4,https://www.yelp.com/biz/swan-oyster-depot-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
arsicault-bakery-san-francisco,bakeries,Bakeries,37.783429,-122.459307,(415) 750-9460,,https://s3-media2.fl.yelpcdn.com/bphoto/IPRgi4dgceBOgZWU28tPpA/o.jpg,,397 Arguello Blvd,San Francisco,Arsicault Bakery,14157509460,$$,4.5,https://www.yelp.com/biz/arsicault-bakery-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
anchor-oyster-bar-san-francisco,seafood,Seafood,37.759689,-122.434609,(415) 431-3990,,https://s3-media2.fl.yelpcdn.com/bphoto/-Zw6ivl7HlQ7ELe0OnPJFQ/o.jpg,,579 Castro St,San Francisco,Anchor Oyster Bar,14154313990,$$$,4.5,https://www.yelp.com/biz/anchor-oyster-bar-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
marco-polo-italian-ice-cream-san-francisco,icecream,Desserts,37.7426223,-122.481885,(415) 731-2833,,https://s3-media4.fl.yelpcdn.com/bphoto/qZMP6QSGXd9-Vyq_hix2Fg/o.jpg,,1447 Taraval St,San Francisco,Marco Polo Italian Ice Cream,14157312833,$,4.5,https://www.yelp.com/biz/marco-polo-italian-ice-cream-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
chez-maman-east-san-francisco,french,French,37.76243889,-122.3966923,(415) 655-9542,,https://s3-media4.fl.yelpcdn.com/bphoto/gccHe5ofFMpNyh8vmS0VSw/o.jpg,,1401 18th St,San Francisco,Chez Maman East,14156559542,$$,4.5,https://www.yelp.com/biz/chez-maman-east-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
plow-san-francisco,breakfast_brunch,Breakfast & Brunch,37.76253767,-122.395351,(415) 821-7569,,https://s3-media2.fl.yelpcdn.com/bphoto/KE7h62IAS2rhoE0V6FMknA/o.jpg,,1299 18th St,San Francisco,Plow,14158217569,$$,4,https://www.yelp.com/biz/plow-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
limón-rotisserie-san-francisco-3,peruvian,Peruvian,37.75706661,-122.4165962,(415) 821-2134,,https://s3-media4.fl.yelpcdn.com/bphoto/wvbMWakjpf0c-0QeucFl9Q/o.jpg,,1001 S Van Ness Ave,San Francisco,Limón Rotisserie,14158212134,$$,4,https://www.yelp.com/biz/lim%C3%B3n-rotisserie-san-francisco-3?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
lous-cafe-san-francisco,coffee,Drinks,37.78045,-122.473308,(415) 379-4429,,https://s3-media1.fl.yelpcdn.com/bphoto/UgwBr0vhX6fSNT_ILMeJvg/o.jpg,,5017 Geary Blvd,San Francisco,Lou's Cafe,14153794429,$$,4.5,https://www.yelp.com/biz/lous-cafe-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
